Date,Open,High,Low,Close,Adj Close,Volume
2022-11-23,245.110001,248.279999,244.270004,247.580002,244.510010,19508500
2022-11-25,247.309998,248.699997,246.729996,247.490005,244.421127,9200800
2022-11-28,246.080002,246.649994,240.800003,241.759995,238.762192,24778200
2022-11-29,241.399994,242.789993,238.210007,240.330002,237.349930,17956300
2022-11-30,240.570007,255.330002,239.860001,255.139999,251.976273,47594200
2022-12-01,253.869995,256.119995,250.919998,254.690002,251.531876,26041500
2022-12-02,249.820007,256.059998,249.690002,255.020004,251.857788,21528500
2022-12-05,252.009995,253.820007,248.059998,250.199997,247.097519,23435300
2022-12-06,250.820007,251.860001,243.779999,245.119995,242.080521,22463700
2022-12-07,244.830002,246.160004,242.210007,244.369995,241.339813,20481500
2022-12-08,244.839996,248.740005,243.059998,247.399994,244.332245,22611800
2022-12-09,244.699997,248.309998,244.160004,245.419998,242.376801,20609700
2022-12-12,247.449997,252.539993,247.169998,252.509995,249.378891,30665100
2022-12-13,261.690002,263.920013,253.070007,256.920013,253.734222,42196900
2022-12-14,257.130005,262.589996,254.309998,257.220001,254.030502,35410900
2022-12-15,253.720001,254.199997,247.339996,249.009995,245.922272,35560400
2022-12-16,248.550003,249.839996,243.509995,244.690002,241.655869,86102000
2022-12-19,244.860001,245.210007,238.710007,240.449997,237.468430,29696400
2022-12-20,239.399994,242.910004,238.419998,241.800003,238.801697,25150800
2022-12-21,241.690002,245.619995,240.110001,244.429993,241.399063,23690600
2022-12-22,241.259995,241.990005,233.869995,238.190002,235.236465,28651700
2022-12-23,236.110001,238.869995,233.940002,238.729996,235.769760,21207000
2022-12-27,238.699997,238.929993,235.830002,236.960007,234.021729,16688600
2022-12-28,236.889999,239.720001,234.169998,234.529999,231.621857,17457100
2022-12-29,235.649994,241.919998,235.649994,241.009995,238.021500,19770700
2022-12-30,238.210007,239.960007,236.660004,239.820007,236.846252,21938500
2023-01-03,243.080002,245.750000,237.399994,239.580002,236.609222,25740000
2023-01-04,232.279999,232.869995,225.960007,229.100006,226.259171,50623400
2023-01-05,227.199997,227.550003,221.759995,222.309998,219.553360,39585600
2023-01-06,223.000000,225.759995,219.350006,224.929993,222.140854,43613600
2023-01-09,226.449997,231.240005,226.410004,227.119995,224.303741,27369800
2023-01-10,227.759995,231.309998,227.330002,228.850006,226.012283,27033900
2023-01-11,231.289993,235.949997,231.110001,235.770004,232.846481,28669300
2023-01-12,235.259995,239.899994,233.559998,238.509995,235.552490,27269500
2023-01-13,237.000000,239.369995,234.919998,239.229996,236.263550,21333300
2023-01-17,237.970001,240.910004,237.089996,240.350006,237.369675,29831300
2023-01-18,241.570007,242.380005,235.520004,235.809998,232.885956,30028700
2023-01-19,233.779999,235.520004,230.679993,231.929993,229.054092,28623000
2023-01-20,234.860001,240.740005,234.509995,240.220001,237.241302,35389800
2023-01-23,241.100006,245.169998,239.649994,242.580002,239.572021,31934000
2023-01-24,242.500000,243.949997,240.440002,242.039993,239.038696,40234400
2023-01-25,234.479996,243.300003,230.899994,240.610001,237.626434,66526600
2023-01-26,243.649994,248.309998,242.000000,248.000000,244.924805,33454500
2023-01-27,248.990005,249.830002,246.830002,248.160004,245.082840,26498900
2023-01-30,244.509995,245.600006,242.199997,242.710007,239.700409,25867400
2023-01-31,243.449997,247.949997,242.949997,247.809998,244.737167,26541100
2023-02-01,248.000000,255.179993,245.470001,252.750000,249.615906,31259900
2023-02-02,258.820007,264.690002,257.250000,264.600006,261.318970,39940400
2023-02-03,259.540009,264.200012,257.100006,258.350006,255.146484,29077300
2023-02-06,257.440002,258.299988,254.779999,256.769989,253.586044,22518000
2023-02-07,260.529999,268.769989,260.079987,267.559998,264.242249,50841400
2023-02-08,273.200012,276.760010,266.209991,266.730011,263.422577,54686000
2023-02-09,273.799988,273.980011,262.799988,263.619995,260.351105,42375100
2023-02-10,261.529999,264.089996,260.660004,263.100006,259.837555,25818500
2023-02-13,267.640015,274.600006,267.149994,271.320007,267.955658,44630900
2023-02-14,272.670013,274.970001,269.279999,272.170013,268.795135,37047900
2023-02-15,268.320007,270.730011,266.179993,269.320007,266.646698,28922400
2023-02-16,264.019989,266.739990,261.899994,262.149994,259.547821,29603600
